query_generation_method,annealing_time,query_graph,num_relations,problem_index,sample_index,valid_ratio,opt_ratio,first_opt_index
IntLog,10,CYCLE,5,0,19,0.0000,0.0000,None
IntLog,100,CYCLE,3,0,0,0.3133,0.1522,2
IntLog,100,CYCLE,3,0,1,0.3611,0.1867,5
IntLog,100,CYCLE,3,0,2,0.3000,0.1422,1
IntLog,100,CYCLE,3,0,3,0.3067,0.1644,4
IntLog,100,CYCLE,3,0,4,0.3122,0.1789,1
IntLog,100,CYCLE,3,0,5,0.2733,0.1167,13
IntLog,100,CYCLE,3,0,6,0.3011,0.1344,22
IntLog,100,CYCLE,3,0,7,0.3233,0.1389,2
IntLog,100,CYCLE,3,0,8,0.3200,0.1567,1
IntLog,100,CYCLE,3,0,9,0.3044,0.1489,8
IntLog,100,CYCLE,3,0,10,0.3267,0.1722,1
IntLog,100,CYCLE,3,0,11,0.3311,0.1256,9
IntLog,100,CYCLE,3,0,12,0.2978,0.1189,24
IntLog,100,CYCLE,3,0,13,0.3167,0.1200,28
IntLog,100,CYCLE,3,0,14,0.2833,0.1144,10
IntLog,100,CYCLE,3,0,15,0.3400,0.1222,4
IntLog,100,CYCLE,3,0,16,0.3189,0.1622,0
IntLog,100,CYCLE,3,0,17,0.3244,0.1567,4
IntLog,100,CYCLE,3,0,18,0.2811,0.1400,16
IntLog,100,CYCLE,3,0,19,0.2844,0.1189,5
IntLog,100,CYCLE,4,0,0,0.0422,0.0011,717
IntLog,100,CYCLE,4,0,1,0.0422,0.0089,68
IntLog,100,CYCLE,4,0,2,0.0322,0.0056,299
IntLog,100,CYCLE,4,0,3,0.0289,0.0011,881
IntLog,100,CYCLE,4,0,4,0.0367,0.0078,108
IntLog,100,CYCLE,4,0,5,0.0444,0.0078,9
IntLog,100,CYCLE,4,0,6,0.0278,0.0044,46
IntLog,100,CYCLE,4,0,7,0.0400,0.0056,76
IntLog,100,CYCLE,4,0,8,0.0422,0.0033,115
IntLog,100,CYCLE,4,0,9,0.0322,0.0022,536
IntLog,100,CYCLE,4,0,10,0.0444,0.0067,87
IntLog,100,CYCLE,4,0,11,0.0378,0.0078,97
IntLog,100,CYCLE,4,0,12,0.0322,0.0044,733
IntLog,100,CYCLE,4,0,13,0.0333,0.0033,789
IntLog,100,CYCLE,4,0,14,0.0333,0.0033,148
IntLog,100,CYCLE,4,0,15,0.0344,0.0022,607
IntLog,100,CYCLE,4,0,16,0.0344,0.0022,678
IntLog,100,CYCLE,4,0,17,0.0467,0.0033,362
IntLog,100,CYCLE,4,0,18,0.0422,0.0044,218
IntLog,100,CYCLE,4,0,19,0.0467,0.0067,204
IntLog,100,CYCLE,5,0,0,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,1,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,2,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,3,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,4,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,5,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,6,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,7,0.0011,0.0000,None
IntLog,100,CYCLE,5,0,8,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,9,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,10,0.0011,0.0000,None
IntLog,100,CYCLE,5,0,11,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,12,0.0011,0.0000,None
IntLog,100,CYCLE,5,0,13,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,14,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,15,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,16,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,17,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,18,0.0000,0.0000,None
IntLog,100,CYCLE,5,0,19,0.0000,0.0000,None
IntLog,1000,CYCLE,3,0,0,0.3300,0.1389,1
IntLog,1000,CYCLE,3,0,1,0.3489,0.1344,8
IntLog,1000,CYCLE,3,0,2,0.3478,0.1911,0
IntLog,1000,CYCLE,3,0,3,0.3500,0.1389,0
IntLog,1000,CYCLE,3,0,4,0.3467,0.1533,1
IntLog,1000,CYCLE,3,0,5,0.3122,0.1722,1
IntLog,1000,CYCLE,3,0,6,0.3411,0.1833,4
IntLog,1000,CYCLE,3,0,7,0.3456,0.1756,1
IntLog,1000,CYCLE,3,0,8,0.3411,0.1689,1
IntLog,1000,CYCLE,3,0,9,0.3700,0.2156,1
IntLog,1000,CYCLE,3,0,10,0.3722,0.2022,0
IntLog,1000,CYCLE,3,0,11,0.3833,0.2244,0
